"WHOREGION","MMWR_WEEKSTARTDATE","TOT_INF_ALL","TOT_INF_A","TOT_INF_B"
"AFR",2023-05-07,155,11,11
"AFR",2023-05-14,212,28,28
"AFR",2023-05-21,257,17,17
"AFR",2023-05-28,261,19,19
"AFR",2023-06-04,175,30,30
"AFR",2023-06-11,139,25,25
"AFR",2023-06-18,161,29,29
"AFR",2023-06-25,132,17,17
"AFR",2023-07-02,171,30,30
"AFR",2023-07-09,146,26,26
"AFR",2023-07-16,170,40,40
"AFR",2023-07-23,185,44,44
"AFR",2023-07-30,133,38,38
"AFR",2023-08-06,196,65,65
"AFR",2023-08-13,136,41,41
"AFR",2023-08-20,200,41,41
"AFR",2023-08-27,132,13,13
"AFR",2023-09-03,161,15,15
"AFR",2023-09-10,216,43,43
"AFR",2023-09-17,193,26,26
"AFR",2023-09-24,147,15,15
"AFR",2023-10-01,152,15,15
"AFR",2023-10-08,184,29,29
"AFR",2023-10-15,180,42,42
"AFR",2023-10-22,166,18,18
"AFR",2023-10-29,182,18,18
"AFR",2023-11-05,165,31,31
"AFR",2023-11-12,182,17,17
"AFR",2023-11-19,206,26,26
"AFR",2023-11-26,222,22,22
"AFR",2023-12-03,158,6,6
"AFR",2023-12-10,185,10,10
"AFR",2023-12-17,170,6,6
"AFR",2023-12-24,180,17,17
"AFR",2023-12-31,141,10,10
"AFR",2024-01-07,222,24,24
"AFR",2024-01-14,181,22,22
"AFR",2024-01-21,126,10,10
"AFR",2024-01-28,93,5,5
"AFR",2024-02-04,72,10,10
"AFR",2024-02-11,46,8,8
"AMR",2023-05-07,4085,1662,1662
"AMR",2023-05-14,4139,1503,1503
"AMR",2023-05-21,3822,1378,1378
"AMR",2023-05-28,3552,1254,1254
"AMR",2023-06-04,3094,968,968
"AMR",2023-06-11,2788,828,828
"AMR",2023-06-18,2466,698,698
"AMR",2023-06-25,2206,609,609
"AMR",2023-07-02,2066,564,564
"AMR",2023-07-09,1478,480,480
"AMR",2023-07-16,1248,408,408
"AMR",2023-07-23,1125,432,432
"AMR",2023-07-30,1055,413,413
"AMR",2023-08-06,1019,410,410
"AMR",2023-08-13,1084,487,487
"AMR",2023-08-20,988,414,414
"AMR",2023-08-27,1037,413,413
"AMR",2023-09-03,1027,406,406
"AMR",2023-09-10,1158,453,453
"AMR",2023-09-17,1326,538,538
"AMR",2023-09-24,1306,495,495
"AMR",2023-10-01,1570,591,591
"AMR",2023-10-08,1800,640,640
"AMR",2023-10-15,2273,742,742
"AMR",2023-10-22,2632,781,781
"AMR",2023-10-29,3847,961,961
"AMR",2023-11-05,6641,1559,1559
"AMR",2023-11-12,8762,1767,1767
"AMR",2023-11-19,10032,1737,1737
"AMR",2023-11-26,14156,2225,2225
"AMR",2023-12-03,19590,2784,2784
"AMR",2023-12-10,26924,3976,3976
"AMR",2023-12-17,35727,5199,5199
"AMR",2023-12-24,34287,5188,5188
"AMR",2023-12-31,27673,4355,4355
"AMR",2024-01-07,24704,4281,4281
"AMR",2024-01-14,22398,4480,4480
"AMR",2024-01-21,24589,5727,5727
"AMR",2024-01-28,24844,6996,6996
"AMR",2024-02-04,20656,6778,6778
"AMR",2024-02-11,3588,685,685
"EMR",2023-05-07,127,79,79
"EMR",2023-05-14,155,114,114
"EMR",2023-05-21,164,127,127
"EMR",2023-05-28,120,83,83
"EMR",2023-06-04,131,91,91
"EMR",2023-06-11,104,65,65
"EMR",2023-06-18,108,67,67
"EMR",2023-06-25,66,40,40
"EMR",2023-07-02,273,36,36
"EMR",2023-07-09,174,44,44
"EMR",2023-07-16,86,35,35
"EMR",2023-07-23,103,40,40
"EMR",2023-07-30,158,37,37
"EMR",2023-08-06,200,38,38
"EMR",2023-08-13,209,41,41
"EMR",2023-08-20,265,52,52
"EMR",2023-08-27,332,37,37
"EMR",2023-09-03,515,60,60
"EMR",2023-09-10,760,48,48
"EMR",2023-09-17,864,61,61
"EMR",2023-09-24,975,48,48
"EMR",2023-10-01,1394,57,57
"EMR",2023-10-08,1774,78,78
"EMR",2023-10-15,2011,60,60
"EMR",2023-10-22,2363,65,65
"EMR",2023-10-29,1828,57,57
"EMR",2023-11-05,1889,135,135
"EMR",2023-11-12,1548,105,105
"EMR",2023-11-19,1820,154,154
"EMR",2023-11-26,1575,177,177
"EMR",2023-12-03,1389,180,180
"EMR",2023-12-10,1495,222,222
"EMR",2023-12-17,1298,169,169
"EMR",2023-12-24,993,184,184
"EMR",2023-12-31,1036,263,263
"EMR",2024-01-07,1060,262,262
"EMR",2024-01-14,850,328,328
"EMR",2024-01-21,808,319,319
"EMR",2024-01-28,888,415,415
"EMR",2024-02-04,543,308,308
"EMR",2024-02-11,77,8,8
"EUR",2023-05-07,982,706,706
"EUR",2023-05-14,595,404,404
"EUR",2023-05-21,459,305,305
"EUR",2023-05-28,306,183,183
"EUR",2023-06-04,281,138,138
"EUR",2023-06-11,226,99,99
"EUR",2023-06-18,157,69,69
"EUR",2023-06-25,99,35,35
"EUR",2023-07-02,100,23,23
"EUR",2023-07-09,167,19,19
"EUR",2023-07-16,155,40,40
"EUR",2023-07-23,178,35,35
"EUR",2023-07-30,139,26,26
"EUR",2023-08-06,158,27,27
"EUR",2023-08-13,172,21,21
"EUR",2023-08-20,159,17,17
"EUR",2023-08-27,177,20,20
"EUR",2023-09-03,203,31,31
"EUR",2023-09-10,173,25,25
"EUR",2023-09-17,211,24,24
"EUR",2023-09-24,242,27,27
"EUR",2023-10-01,440,66,66
"EUR",2023-10-08,527,85,85
